uA,uB
2.08,1.6800000000000002
-0.9,1.6164983058651652
-0.5220482550851856,1.6394815415401232
-0.9,1.622102486585152
1.2712413583315278,1.204326225728629
-0.9,1.5172404792002674
0.8700721341948124,1.447388111162837
-0.9,1.6353951691988757
-0.01655269828011284,1.60978987683766
-0.9,1.6605862787412728
0.4894704139836914,1.5486737485371083
-0.9,1.6581524278217858
0.042021379356447355,1.6068627623458265
-0.9,1.661902600689076
0.4216230449707791,1.5604928720516644
-0.9,1.659902671781278
0.08484131019196059,1.6030091548174772
-0.9,1.6623398871962562
0.3763063616202208,1.5676688470667943
-0.9,1.6608172387263278
0.11687586617886793,1.5999152114649438
-0.9,1.6625452046349938
0.34362851896199265,1.5725227100995514
-0.9,1.661359265987453
0.14151649661414378,1.5974135491845207
-0.9,1.6626365453381187
0.3191852007397887,1.5759879458024386
-0.9,1.661702396417928
0.16074451364353537,1.5953867585663273
-0.9,1.6626690083370095
0.30052444401728307,1.578542073122785
-0.9,1.6619290797943638
0.1758656743695841,1.5937460819246732
-0.9,1.6626711532982634
0.2861030116122394,1.5804634756893399
-0.9,1.662083545135578
0.18780711998512967,1.5924208166584397
-0.9,1.6626584991427837
0.274872032465026,1.5819288640697928
-0.9,1.6621913910896275
0.19725831244300007,1.5913531367364402
-0.9,1.6626395884921528
0.2660821364652479,1.5830571879500988
-0.9,1.6622682141250023
0.20474666899276645,1.5904952661222937
-0.9,1.662619057904927
0.25918001516214717,1.5839319232208562
-0.9,1.6623238776538705
0.21068252020182382,1.5898076837868864
-0.9,1.6625993133781305
0.2537480939113138,1.584613442326808
-0.9,1.6623648030080331
0.21538824370657916,1.589257799494973
-0.9,1.6625814859117205
0.2494665903440457,1.5851463818407612
-0.9,1.662395272342544
0.21911850421528767,1.588818869680594
-0.9,1.6625659900421514
0.2460881852510524,1.5855642862063417
-0.9,1.6624182017091678
0.22207505422292223,1.588469065046652
-0.9,1.6625528525810649
0.2434203146154278,1.5858926723579807
-0.9,1.6624356146776473
0.22441794412492938,1.5881906577792406
-0.9,1.6625419050940724
0.24131235365796877,1.5861511289507308
-0.9,1.6624489399321871
0.2262742047330124,1.5879693161360904
-0.9,1.6625328946815792
0.2396461037417924,1.586354798099919
-0.9,1.6624592022568905
0.2277446623721605,1.5877934990796605
-0.9,1.6625255457484593
0.23832860154226204,1.586515446673523
-0.9,1.6624671474129291
0.22890932814244663,1.5876539433705399
-0.9,1.6625195926063872
0.23728661303982657,1.586642255760851
-0.9,1.6624733252162844
0.2298316758862552,1.5875432342112885
-0.9,1.6625147950010124
0.23646237893774946,1.5867424113166677
-0.9,1.6624781457312043
0.23056204366173397,1.5874554495980766
-0.9,1.6625109439082963
0.23581030575321157,1.5868215513574033
-0.9,1.6624819178971737
0.23114033955345192,1.587385868323786
-0.9,1.662507862019868
0.23529438050508958,1.5868841077460822
-0.9,1.6624848765014417
0.23159819373408205,1.5873307319806225
-0.9,1.6625054015370977
0.23488614406900465,1.5869335693536066
-0.9,1.6624872013017937
0.23196066930624804,1.5872870521202818
-0.9,1.6625034407914165
0.23456309866143685,1.5869726858668733
-0.9,1.6624890307816567
